ID_Encomenda,Data_Calendario,Produto,Quantidade,Preco_Unitario,Estado_Encomenda
ENC-2102,2025-01-01 13:27:00,Pudim,4,8.0,Entregue
ENC-1568,2025-01-01 13:51:00,Churros,10,12.0,Entregue
ENC-1217,2025-01-01 16:54:00,Pudim,6,8.0,Cancelada
ENC-1622,2025-01-01 17:08:00,Churros,8,12.0,Entregue
ENC-2363,2025-01-01 17:14:00,Bolo,4,12.0,Entregue
ENC-2090,2025-01-01 17:40:00,Pudim,7,8.0,Entregue
ENC-2078,2025-01-01 18:44:00,Bolo,10,12.0,Entregue
ENC-1457,2025-01-01 21:36:00,Bolo,6,12.0,Entregue
ENC-1050,2025-01-02 11:39:00,Churros,3,12.0,Entregue
ENC-2764,2025-01-02 11:55:00,Banoffee,5,14.0,Entregue
ENC-1990,2025-01-02 11:57:00,Morangoffee,3,14.0,Entregue
ENC-1431,2025-01-02 12:19:00,Pudim,1,8.0,Entregue
ENC-2627,2025-01-02 12:25:00,Morangoffee,9,14.0,Entregue
ENC-2581,2025-01-02 13:07:00,Pudim,7,8.0,Cancelada
ENC-1222,2025-01-02 17:36:00,Morangoffee,10,14.0,Entregue
ENC-1557,2025-01-02 18:26:00,Churros,9,12.0,Entregue
ENC-1493,2025-01-02 20:36:00,Banoffee,6,14.0,Entregue
ENC-2889,2025-01-02 23:48:00,Banoffee,2,14.0,Entregue
ENC-1495,2025-01-03 11:23:00,Banoffee,5,14.0,Entregue
ENC-2072,2025-01-03 18:57:00,Pudim,6,8.0,Entregue
ENC-2800,2025-01-03 20:06:00,Banoffee,4,14.0,Entregue
ENC-1297,2025-01-03 23:02:00,Churros,7,12.0,Entregue
ENC-2131,2025-01-03 23:25:00,Morangoffee,8,14.0,Entregue
ENC-2849,2025-01-04 14:00:00,Banoffee,7,14.0,Entregue
ENC-2352,2025-01-04 20:00:00,Churros,1,12.0,Entregue
ENC-2463,2025-01-04 22:06:00,Morangoffee,6,14.0,Entregue
ENC-1505,2025-01-05 14:30:00,Bolo,6,12.0,Entregue
ENC-2452,2025-01-05 17:03:00,Pudim,10,8.0,Entregue
ENC-2502,2025-01-05 19:55:00,Churros,7,12.0,Entregue
ENC-1068,2025-01-06 12:47:00,Pudim,8,8.0,Entregue
ENC-2029,2025-01-06 12:58:00,Banoffee,6,14.0,Entregue
ENC-1631,2025-01-06 14:24:00,Bolo,2,12.0,Entregue
ENC-1700,2025-01-06 18:29:00,Pudim,3,8.0,Entregue
ENC-1032,2025-01-06 20:39:00,Churros,4,12.0,Entregue
ENC-1444,2025-01-06 23:24:00,Banoffee,10,14.0,Entregue
ENC-1518,2025-01-07 11:06:00,Bolo,3,12.0,Entregue
ENC-1751,2025-01-07 12:03:00,Morangoffee,2,14.0,Entregue
ENC-1430,2025-01-07 13:44:00,Bolo,5,12.0,Entregue
ENC-2245,2025-01-07 15:44:00,Churros,10,12.0,Entregue
ENC-1421,2025-01-07 16:53:00,Churros,5,12.0,Entregue
ENC-2322,2025-01-07 18:37:00,Pudim,7,8.0,Entregue
ENC-2777,2025-01-07 19:11:00,Pudim,3,8.0,Entregue
ENC-1501,2025-01-07 21:21:00,Churros,9,12.0,Entregue
ENC-2877,2025-01-08 12:27:00,Pudim,1,8.0,Entregue
ENC-2067,2025-01-08 13:46:00,Banoffee,3,14.0,Entregue
ENC-1985,2025-01-08 15:20:00,Bolo,5,12.0,Entregue
ENC-1874,2025-01-08 16:22:00,Pudim,2,8.0,Entregue
ENC-1374,2025-01-08 17:31:00,Morangoffee,2,14.0,Entregue
ENC-1571,2025-01-08 20:03:00,Morangoffee,5,14.0,Entregue
ENC-1323,2025-01-08 20:14:00,Bolo,1,12.0,Entregue
ENC-2538,2025-01-09 12:49:00,Bolo,5,12.0,Cancelada
ENC-1243,2025-01-09 13:28:00,Pudim,2,8.0,Entregue
ENC-1617,2025-01-09 13:37:00,Pudim,9,8.0,Entregue
ENC-2120,2025-01-09 20:07:00,Bolo,1,12.0,Entregue
ENC-2419,2025-01-10 15:04:00,Morangoffee,4,14.0,Entregue
ENC-2973,2025-01-10 16:04:00,Bolo,4,12.0,Entregue
ENC-2780,2025-01-10 19:50:00,Banoffee,6,14.0,Entregue
ENC-1607,2025-01-11 11:45:00,Churros,7,12.0,Entregue
ENC-2814,2025-01-11 12:31:00,Bolo,8,12.0,Entregue
ENC-2859,2025-01-11 14:00:00,Banoffee,8,14.0,Entregue
ENC-1774,2025-01-11 14:13:00,Morangoffee,4,14.0,Cancelada
ENC-1923,2025-01-11 15:46:00,Churros,8,12.0,Cancelada
ENC-2093,2025-01-11 16:38:00,Morangoffee,9,14.0,Entregue
ENC-2546,2025-01-11 17:08:00,Churros,3,12.0,Entregue
ENC-2731,2025-01-11 18:31:00,Pudim,9,8.0,Entregue
ENC-1920,2025-01-11 19:16:00,Pudim,2,8.0,Entregue
ENC-2737,2025-01-11 19:35:00,Banoffee,1,14.0,Entregue
ENC-1870,2025-01-11 22:11:00,Morangoffee,2,14.0,Entregue
ENC-2414,2025-01-12 12:24:00,Banoffee,9,14.0,Entregue
ENC-1052,2025-01-12 13:39:00,Pudim,2,8.0,Entregue
ENC-2603,2025-01-12 16:02:00,Bolo,7,12.0,Entregue
ENC-1352,2025-01-12 16:34:00,Banoffee,1,14.0,Entregue
ENC-1662,2025-01-12 16:58:00,Bolo,8,12.0,Entregue
ENC-1508,2025-01-12 22:38:00,Bolo,4,12.0,Entregue
ENC-2870,2025-01-13 12:34:00,Churros,6,12.0,Entregue
ENC-1980,2025-01-13 15:43:00,Pudim,2,8.0,Entregue
ENC-1363,2025-01-13 16:01:00,Churros,6,12.0,Entregue
ENC-2019,2025-01-13 17:14:00,Banoffee,9,14.0,Entregue
ENC-1139,2025-01-13 17:41:00,Banoffee,7,14.0,Entregue
ENC-2468,2025-01-13 18:01:00,Bolo,2,12.0,Entregue
ENC-2308,2025-01-13 22:39:00,Banoffee,8,14.0,Entregue
ENC-1683,2025-01-14 15:24:00,Churros,2,12.0,Entregue
ENC-1722,2025-01-14 18:11:00,Churros,7,12.0,Entregue
ENC-1429,2025-01-14 19:04:00,Churros,5,12.0,Entregue
ENC-2685,2025-01-14 19:58:00,Banoffee,9,14.0,Entregue
ENC-2030,2025-01-14 22:31:00,Morangoffee,9,14.0,Entregue
ENC-2392,2025-01-14 22:43:00,Banoffee,3,14.0,Entregue
ENC-2916,2025-01-14 23:25:00,Churros,4,12.0,Entregue
ENC-1965,2025-01-15 12:09:00,Bolo,7,12.0,Entregue
ENC-1996,2025-01-15 13:15:00,Bolo,5,12.0,Entregue
ENC-1135,2025-01-15 16:48:00,Bolo,8,12.0,Entregue
ENC-2591,2025-01-15 22:01:00,Morangoffee,8,14.0,Entregue
ENC-1258,2025-01-16 15:05:00,Banoffee,3,14.0,Entregue
ENC-2018,2025-01-16 17:47:00,Pudim,1,8.0,Entregue
ENC-2514,2025-01-16 18:13:00,Banoffee,3,14.0,Entregue
ENC-1830,2025-01-17 13:30:00,Churros,10,12.0,Cancelada
ENC-1092,2025-01-17 14:11:00,Pudim,3,8.0,Entregue
ENC-2445,2025-01-17 15:40:00,Churros,3,12.0,Entregue
ENC-1778,2025-01-17 16:25:00,Churros,8,12.0,Entregue
ENC-2589,2025-01-17 20:37:00,Bolo,8,12.0,Entregue
ENC-2981,2025-01-17 21:37:00,Morangoffee,6,14.0,Entregue
ENC-1252,2025-01-17 21:42:00,Bolo,4,12.0,Entregue
ENC-1503,2025-01-17 22:44:00,Pudim,5,8.0,Entregue
ENC-1823,2025-01-18 13:49:00,Churros,2,12.0,Entregue
ENC-2583,2025-01-18 14:18:00,Bolo,9,12.0,Entregue
ENC-2749,2025-01-18 23:25:00,Banoffee,1,14.0,Entregue
ENC-1317,2025-01-18 23:51:00,Banoffee,2,14.0,Entregue
ENC-2943,2025-01-19 16:24:00,Bolo,7,12.0,Entregue
ENC-2253,2025-01-19 21:12:00,Bolo,8,12.0,Entregue
ENC-1226,2025-01-20 12:22:00,Morangoffee,4,14.0,Entregue
ENC-1876,2025-01-20 15:19:00,Bolo,3,12.0,Entregue
ENC-1879,2025-01-20 18:26:00,Churros,1,12.0,Entregue
ENC-1287,2025-01-20 18:49:00,Banoffee,6,14.0,Entregue
ENC-1946,2025-01-20 20:51:00,Bolo,8,12.0,Entregue
ENC-2648,2025-01-20 21:57:00,Churros,3,12.0,Cancelada
ENC-2380,2025-01-20 22:53:00,Bolo,6,12.0,Cancelada
ENC-1241,2025-01-20 23:31:00,Banoffee,7,14.0,Entregue
ENC-2794,2025-01-21 11:46:00,Bolo,7,12.0,Cancelada
ENC-2119,2025-01-21 15:36:00,Pudim,6,8.0,Entregue
ENC-1411,2025-01-21 15:51:00,Bolo,3,12.0,Entregue
ENC-2779,2025-01-21 19:20:00,Pudim,6,8.0,Entregue
ENC-1928,2025-01-21 19:47:00,Morangoffee,1,14.0,Entregue
ENC-2126,2025-01-22 15:28:00,Morangoffee,7,14.0,Entregue
ENC-1810,2025-01-22 16:19:00,Pudim,5,8.0,Entregue
ENC-2191,2025-01-22 17:13:00,Pudim,8,8.0,Entregue
ENC-1682,2025-01-22 21:24:00,Banoffee,3,14.0,Entregue
ENC-1298,2025-01-22 23:18:00,Bolo,9,12.0,Entregue
ENC-1473,2025-01-22 23:25:00,Morangoffee,5,14.0,Entregue
ENC-2982,2025-01-23 13:35:00,Banoffee,5,14.0,Cancelada
ENC-1783,2025-01-23 15:58:00,Pudim,10,8.0,Entregue
ENC-1154,2025-01-23 16:40:00,Pudim,4,8.0,Cancelada
ENC-2928,2025-01-23 17:39:00,Banoffee,3,14.0,Entregue
ENC-1203,2025-01-23 18:22:00,Pudim,10,8.0,Cancelada
ENC-2027,2025-01-23 18:32:00,Bolo,1,12.0,Entregue
ENC-2068,2025-01-23 18:38:00,Pudim,7,8.0,Entregue
ENC-1077,2025-01-23 19:49:00,Morangoffee,2,14.0,Entregue
ENC-1889,2025-01-23 23:58:00,Banoffee,7,14.0,Entregue
ENC-2475,2025-01-24 13:25:00,Morangoffee,3,14.0,Entregue
ENC-1082,2025-01-24 16:19:00,Morangoffee,6,14.0,Entregue
ENC-2438,2025-01-24 17:08:00,Banoffee,1,14.0,Entregue
ENC-2109,2025-01-24 20:24:00,Churros,9,12.0,Entregue
ENC-1155,2025-01-24 22:25:00,Churros,3,12.0,Entregue
ENC-2259,2025-01-24 23:22:00,Churros,1,12.0,Entregue
ENC-2843,2025-01-25 14:51:00,Banoffee,3,14.0,Entregue
ENC-1330,2025-01-25 15:16:00,Pudim,5,8.0,Entregue
ENC-1281,2025-01-25 15:27:00,Banoffee,6,14.0,Entregue
ENC-2057,2025-01-25 19:37:00,Bolo,1,12.0,Entregue
ENC-1440,2025-01-25 22:16:00,Bolo,1,12.0,Entregue
ENC-2776,2025-01-26 11:31:00,Banoffee,6,14.0,Entregue
ENC-2857,2025-01-26 15:23:00,Morangoffee,9,14.0,Cancelada
ENC-2490,2025-01-26 18:43:00,Pudim,1,8.0,Entregue
ENC-1055,2025-01-26 20:35:00,Bolo,6,12.0,Entregue
ENC-1716,2025-01-26 21:48:00,Banoffee,4,14.0,Entregue
ENC-1344,2025-01-26 22:58:00,Churros,4,12.0,Entregue
ENC-2032,2025-01-27 15:02:00,Pudim,5,8.0,Entregue
ENC-2727,2025-01-27 16:07:00,Morangoffee,8,14.0,Cancelada
ENC-2958,2025-01-27 19:08:00,Churros,8,12.0,Cancelada
